col1,name,RMS,redshift_1,W1,W2,W3,W4,W5,W6,UNI_FLAG,MIZ2,detection,UNI_DET,peak_flux,int_flux,Quadrant,D_Mpc,D_cm,L_rad,L_2500,alpha_ro,alpha_MFS,alpha_inband,RAx,DECx,VOFF_CIV_PEAK_1,EW_CIV_1,PLATE_1,MJD_1,FIBER_1,SDSS_NAME,RA,DEC,REDSHIFT_2,PLATE_2,FIBER_2,MJD_2,TARGET_FLAG_TARGET,NSPECOBS,UNIFORM_TARGET,MI_Z2,LOGLBOL,LOGLBOL_ERR,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL5100,LOGL5100_ERR,LOGL3000,LOGL3000_ERR,LOGL1350,LOGL1350_ERR,LOGL_BROAD_HA,LOGL_BROAD_HA_ERR,FWHM_BROAD_HA,FWHM_BROAD_HA_ERR,EW_BROAD_HA,EW_BROAD_HA_ERR,LOGL_NARROW_HA,LOGL_NARROW_HA_ERR,FWHM_NARROW_HA,FWHM_NARROW_HA_ERR,EW_NARROW_HA,EW_NARROW_HA_ERR,LOGL_NII_6585,LOGL_NII_6585_ERR,EW_NII_6585,EW_NII_6585_ERR,LOGL_SII_6718,LOGL_SII_6718_ERR,EW_SII_6718,EW_SII_6718_ERR,LOGL_SII_6732,LOGL_SII_6732_ERR,EW_SII_6732,EW_SII_6732_ERR,EW_FE_HA,EW_FE_HA_ERR,ALPHA_HA,ALPHA_HA_ERR,LINE_NPIX_HA,LINE_MED_SN_HA,LINE_REDCHI2_HA,LOGL_BROAD_HB,LOGL_BROAD_HB_ERR,FWHM_BROAD_HB,FWHM_BROAD_HB_ERR,EW_BROAD_HB,EW_BROAD_HB_ERR,LOGL_NARROW_HB,LOGL_NARROW_HB_ERR,FWHM_NARROW_HB,FWHM_NARROW_HB_ERR,EW_NARROW_HB,EW_NARROW_HB_ERR,FWHM_BROAD_HB_1GAUSS,LOGL_OIII_4959,LOGL_OIII_4959_ERR,EW_OIII_4959,EW_OIII_4959_ERR,LOGL_OIII_5007,LOGL_OIII_5007_ERR,EW_OIII_5007,EW_OIII_5007_ERR,EW_FE_HB_4434_4684,EW_FE_HB_4434_4684_ERR,ALPHA_HB,ALPHA_HB_ERR,LINE_NPIX_HB,LINE_MED_SN_HB,LINE_REDCHI2_HB,LOGL_MGII,LOGL_MGII_ERR,FWHM_MGII,FWHM_MGII_ERR,EW_MGII,EW_MGII_ERR,LOGL_BROAD_MGII,LOGL_BROAD_MGII_ERR,FWHM_BROAD_MGII,FWHM_BROAD_MGII_ERR,EW_BROAD_MGII,EW_BROAD_MGII_ERR,FWHM_BROAD_MGII_1GAUSS,EW_FE_MGII,EW_FE_MGII_ERR,ALPHA_MGII,ALPHA_MGII_ERR,LINE_NPIX_MGII,LINE_MED_SN_MGII,LINE_REDCHI2_MGII,LOGL_CIV,LOGL_CIV_ERR,FWHM_CIV,FWHM_CIV_ERR,EW_CIV_2,EW_CIV_ERR,ALPHA_CIV,ALPHA_CIV_ERR,LINE_NPIX_CIV,LINE_MED_SN_CIV,LINE_REDCHI2_CIV,VOFF_BROAD_HA,VOFF_BROAD_HA_ERR,VOFF_NARROW_HA,VOFF_NARROW_HA_ERR,VOFF_BROAD_HB,VOFF_BROAD_HB_ERR,VOFF_NARROW_HB,VOFF_NARROW_HB_ERR,VOFF_BROAD_MGII,VOFF_BROAD_MGII_ERR,VOFF_CIV_PEAK_2,VOFF_CIV_PEAK_ERR,LOGBH_HB_MD04,LOGBH_HB_MD04_ERR,LOGBH_HB_VP06,LOGBH_HB_VP06_ERR,LOGBH_MGII_MD04,LOGBH_MGII_MD04_ERR,LOGBH_MGII_VO09,LOGBH_MGII_VO09_ERR,LOGBH_MGII_S10,LOGBH_MGII_S10_ERR,LOGBH_CIV_VP06,LOGBH_CIV_VP06_ERR,LOGBH,LOGBH_ERR,LOGEDD_RATIO,SPECIAL_INTEREST_FLAG,Separation
233,SDSSJ001342.45-002412.6,,1.650561,0.02732,0.02415,0.0263,0.01611,-0.00745,-0.00511,0.0,-27.5209691618244,1.0,1,220.0,270.0,0,12528.5284255751,3.86630387213248E+28,31.2549360678698,31.1675777070331,-0.0416605196669278,,,3.42688,-0.403514,562.460634669891,52.6867149561592,389,51795,274,001342.45-002412.6,3.4268798828125,-0.40351399779319800,1.6409000158309900,389,274,51795,68,1,0,-27.520969161824400,47.01257931936190,0.00547159760101934,0,0,0.0,-26.634530840031000,-1.0,0.0,-1.0,46.30077209032070,0.00547159760101934,46.082453181903000,0.026254111680348300,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.087844364111400,0.047600139094278400,3847.9553419907600,339.5394398376050,17.574652345453600,2.1975312688408800,44.087844364111400,0.05008839325556030,3847.9553419907600,335.8698106051260,17.574652345453600,2.2116633351303800,4145.154421979210,64.07804085353620,9.422294369838050,-0.6402059532792700,0.024039683526414600,310,21.712243331475400,4.699444226121130,44.641811157237700,0.04372290563087940,5417.60498046875,803.681884765625,52.68671495615920,6.644047388937890,-0.5468004595774450,0.3164098673597730,280,8.43564785495459,0.8833278992153040,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-960.9599077517910,188.17178271581000,562.4606346698910,106.90275669798500,0.0,-1.0,0.0,-1.0,9.166710102771310,0.024684428527499000,9.180846091413990,0.07669216763815840,9.336938742252480,0.07589087925083840,9.231314857770820,0.1296011388138550,9.336938742252480,0.07589087925083840,-0.4247299680081230,0,4.21939336792885E-04
293,SDSSJ014023.83+141151.7,,1.6503609,0.01581,0.04727,0.00394,0.03844,0.00287,1.5E-04,0.0,-26.0894882711029,1.0,1,495.0,515.0,1,12526.6502951896,3.86572428109551E+28,31.5352657081109,30.5949853507445,-0.448412355100327,,,25.099303,14.197709,647.980314633542,28.9672849567097,426,51882,514,014023.83+141151.7,25.099302291870100,14.197709083557100,1.6543999910354600,426,514,51882,4,1,0,-26.089488271102900,46.51422331561300,0.007897375589536180,1,-1,0.0,-27.036978790578300,-1.0,0.0,-1.0,45.80241608657180,0.007897375589536180,46.211835670800200,0.020783678494453300,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.028714003025100,0.03913007004314300,7488.438784841880,494.1820933981980,44.16617998552340,4.263390026605270,44.02320655471620,0.037558351184465300,7488.438784841880,491.61342912068400,43.609628761446900,4.330021178231080,7759.193700098610,108.85248165335600,12.12885811042310,-1.9341793516310900,0.06475101369294350,310,10.645272247841600,1.110331075136960,44.41126197063020,0.0392034397117591,7858.216796875,779.729736328125,28.967284956709700,3.167566867852110,-2.218968023828970,0.30580350848216100,280,8.898058092945900,1.2351306070752600,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,89.8353728601734,521.7526313508550,647.9803146335420,160.32549460368700,0.0,-1.0,0.0,-1.0,9.402281139409890,0.03599832229616150,9.509990611180940,0.057456354994361300,9.606280541569550,0.05723239959699150,9.62292091792379,0.08688662104830420,9.606280541569550,0.05723239959699150,-1.1924277710741600,0,0.0024896395195753100
1270,SDSSJ014658.21-091505.2,10.0,1.6508549,0.02277,0.03147,0.02065,0.02196,-0.00505,0.00193,0.0,-26.3366662899303,-1.0,-2,0.0,30.0,0,12531.2870452285,3.86715518215752E+28,30.3008607129891,30.6938565582754,0.187416647757116,,,26.742564,-9.25147,262.949177464836,35.0665733257263,664,52174,543,014658.21-091505.2,26.742563247680700,-9.251469612121580,1.6516000032424900,664,543,52174,1048580,1,0,-26.3366662899303,46.484855357262100,0.009219681945609180,0,0,0.0,-27.09519939913980,-1.0,0.0,-1.0,45.77304812822090,0.009219681945609180,46.045792126952600,0.025140328155625700,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.7936284130072,0.03559355615567480,4602.063059568030,1461.0798990673300,28.240772896739000,2.6945653164070800,43.76822948327540,0.03691594791089510,6846.715611876580,1317.6367904065200,26.636530058698300,2.5870800854256700,8015.453918347450,81.51646219829400,14.74315081526510,-1.552698581975850,0.0520731672575091,311,9.97636139565047,1.0501156766614000,44.34292659011770,0.04549401340262800,4946.650390625,761.512451171875,35.066573325726300,4.862296417436230,-1.9169492142950400,0.3474033537953340,281,8.096472301678060,0.9161691161599920,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,489.603501068838,481.4130979504090,262.94917746483600,267.3524295589270,0.0,-1.0,0.0,-1.0,9.412296061128980,0.05972582590214280,9.072429194659600,0.27580134543430200,9.510254417896230,0.1672559251801130,9.132892261804330,0.1343772215574190,9.510254417896230,0.1672559251801130,-1.1257696057516600,0,0.003015857841418200
1281,SDSSJ015720.27-093809.1,23.7,1.650784,0.03413,0.02012,0.01647,0.03683,6.7E-04,-0.00521,0.0,-26.2989031734956,-1.0,-2,0.0,71.1,0,12530.6215505167,3.86694981048945E+28,30.6755687378387,30.6787513117016,0.00151774460666271,,,29.334464,-9.635872,444.83115357612,43.6745681571742,666,52149,298,015720.27-093809.1,29.334463119506800,-9.635871887207030,1.649399995803830,666,298,52149,4,1,0,-26.298903173495600,46.43800864735040,0.0050411945155453,0,0,0.0,-27.153536337445400,-1.0,0.0,-1.0,45.726201418309200,0.0050411945155453,45.889082167622900,0.018422875538057300,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.821585059961100,0.013744721940863500,3755.2154249631100,351.32155415736000,33.92047078545190,1.145625785289740,43.816281892332600,0.01848220165687660,3755.2154249631100,534.832493627822,33.50878674681890,1.443310911179220,5197.561113452400,81.62157627402410,7.381520356608240,-1.3941313331629500,0.03306943103647490,310,13.551411337790600,1.279312914125830,44.32193260947220,0.03204054173778910,3952.588623046880,451.7974853515630,43.67456815717420,3.941333120225580,-1.2720548223037200,0.2669127507168510,280,9.3571147926698,1.0410784440936600,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-215.629155818866,187.53414462081600,444.8311535761200,187.1299718673610,0.0,-1.0,0.0,-1.0,9.006994066696080,0.0313517618284274,8.872370421496290,0.08130047290089540,8.959514591693400,0.1237473212018840,8.854976781352250,0.0997623437033632,8.959514591693400,0.1237473212018840,-0.6218764894605680,0,0.0031513243834065800
7944,SDSSJ081656.84+492438.1,9.3,1.650785,0.04669,8E-04,0.03072,0.02102,-0.00724,-0.00474,0.0,-26.1361258215558,-1.0,-2,0.0,27.9,3,12530.6309368604,3.86695270711512E+28,30.2693039091003,30.6136403709256,0.164211368007797,,,124.236843,49.410604,423.439007686516,31.5393278561213,440,51885,552,081656.84+492438.1,124.2368392944340,49.41060256958010,1.646399974823000,440,552,51885,1048580,2,0,-26.136125821555800,46.47286172769950,0.006821101336207390,0,0,0.0,-27.114832399872500,-1.0,0.0,-1.0,45.761054498658300,0.006821101336207390,46.01538704666370,0.018696929090442200,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.77667199501830,0.026047199515797800,2802.840285214990,347.88872668934300,28.16977518589080,1.7934057506297900,43.76942203951000,0.03274355115611980,2802.840285214990,1255.7252177855200,27.703422506624100,2.0794101761373600,5485.214584459420,50.93998620473170,11.79682743144230,-1.4243843568598900,0.04194759773923600,310,11.353679122240200,1.1970027726117100,44.26231429732000,0.027752233877624400,4754.9404296875,451.820556640625,31.53932785612130,2.7037890836216300,-2.055766064856470,0.3236378263405480,280,8.975661959892990,1.101824877942880,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-320.736387246662,321.86068142709500,423.4390076865160,106.97917670968900,0.0,-1.0,0.0,-1.0,9.075391011628120,0.05048488036831910,8.635723951288520,0.10786325415830900,8.727050491127520,0.3891671884157820,9.082445295587720,0.08312718911448350,8.727050491127520,0.3891671884157820,-0.35455930854556800,0,0.010092116945237600
4892,SDSSJ082334.60+213917.5,13.0,1.6515239,0.03899,0.02024,0.01707,0.01689,0.00736,-0.00132,1.0,-27.3155471628648,-1.0,-1,0.0,39.0,4,12537.5668311254,3.8690931240853E+28,30.415184436167,31.0854089074492,0.319624813236859,,,125.894208,21.654881,498.304830790992,25.8463263533121,1927,53321,481,082334.60+213917.5,125.89421081543000,21.65488052368160,1.6390999555587800,1927,481,53321,1048578,1,1,-27.315547162864800,46.90502509160270,0.0036753213846729700,0,0,0.0,-26.665208034235100,-1.0,0.0,-1.0,46.19321786256150,0.0036753213846729700,46.513267606599800,0.006610236708098680,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.141424250921600,0.01128218452626940,2764.852965211890,363.53412752635600,23.8273502755749,0.6059616812023950,44.12296319466510,0.014557686968128500,2764.852965211890,407.3778311388790,22.83571914379860,0.8096736013806770,3737.7745814116600,54.06021119864330,3.1712069137129800,-1.600015148171470,0.030621698882336200,310,23.919669207520400,0.9634778890120610,44.67137538296340,0.04465640815683970,6474.8828125,398.9931640625,25.846326353312100,2.635011884642860,-2.120475722747960,0.13199020027521800,280,20.76952617494560,1.1796154607384000,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-1267.5968528511300,107.7093748846350,498.3048307909920,240.7676794776130,0.0,-1.0,0.0,-1.0,9.010171265705690,0.018483929308629800,8.839953012258360,0.11422039799240300,8.983139155765730,0.12799956347350900,9.614495656743410,0.053638448555431500,8.983139155765730,0.12799956347350900,-0.17848460928061600,0,0.009575009308398770
3648,SDSSJ082423.61+260656.3,7.5,1.6501319,0.04131,0.00978,0.02814,0.01413,0.00385,-0.0013,1.0,-26.1578820770274,-1.0,-1,0.0,22.5,3,12524.5009690226,3.86506099904037E+28,30.175510714711,30.6223428731143,0.213090764806979,,,126.098409,26.115647,712.104034521381,22.8324434053977,1586,52945,327,082423.61+260656.3,126.0984115600590,26.115646362304700,1.6450999975204500,1586,327,52945,2,1,1,-26.157882077027400,46.517092381434500,0.0059573191540032200,0,0,0.0,-27.045242970451600,-1.0,0.0,-1.0,45.8052851523933,0.0059573191540032200,46.17002117235950,0.011215646174484600,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.778375962029100,0.058060508557876000,2971.81503639981,254.48699790444100,24.99418901800560,3.2592924549360300,43.769167316441500,0.058805627337211100,2971.81503639981,295.1657451973900,24.469799128038100,3.136755969536360,3299.008402907640,62.37898511840370,10.600595020039600,-1.7366700022035800,0.049518067067019400,310,10.60194136412060,1.425210458040110,44.25830680443320,0.0574088804340569,5271.5595703125,426.88623046875,22.832443405397700,3.4503124076807400,-2.445167865083730,0.18098652627854200,280,11.477016663901400,0.9214165974223050,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-593.5243270644310,134.19247701270300,712.104034521381,347.6513397041200,0.0,-1.0,0.0,-1.0,8.661193616281090,0.04644924102382640,8.708686127712450,0.0744399532503122,8.805320345999640,0.08634877046216410,9.253989458447670,0.07058829780796860,8.805320345999640,0.08634877046216410,-0.3885985096827160,0,0.008587834944056810
1902,SDSSJ082928.79+401608.4,13.0,1.65065,0.01796,0.02038,0.04228,0.01654,4.2E-04,-0.00382,1.0,-26.2002213282118,-1.0,-1,0.0,39.0,2,12529.3637912196,3.86656166597037E+28,30.4146875325755,30.639278573588,0.107105712509961,,,127.369984,40.269003,359.253397156359,51.3258779095083,894,52615,524,082928.79+401608.4,127.36998748779300,40.269004821777300,1.6484999656677200,894,524,52615,1048578,1,1,-26.200221328211800,46.505937938241700,0.005059381654170640,0,0,0.0,-27.109332012792500,-1.0,0.0,-1.0,45.794130709200500,0.005059381654170640,45.941160185328600,0.017478009523976800,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.726633325425800,0.03058679546036560,3152.5167426301800,250.43802004338200,23.811292043803100,1.763051832170540,43.72287847994140,0.034328476544303000,3152.5167426301800,294.11774621028300,23.606310551608200,2.182100474388150,3834.096652757750,54.69241129344350,6.216034565360110,-1.0889925384090000,0.03904232475743860,310,11.713301684116400,1.1180193122023800,44.39317412480710,0.03432947936683210,3214.2490234375,204.340576171875,51.32587790950830,4.260665485679320,-2.144893316595930,0.2780785107834980,281,10.143829372522100,1.1921638394022600,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,2.5460789099848900,133.92902761005000,359.2533971563590,53.48958750124350,0.0,-1.0,0.0,-1.0,8.784837131420390,0.0535095621591725,8.754380158072310,0.06904763869339220,8.849675843176360,0.08109671456243710,8.702973939479060,0.05599071024587800,8.849675843176360,0.08109671456243710,-0.44410845005224100,0,0.011610276359179100
6463,SDSSJ090502.96+154553.0,12.0,1.650998,0.02679,0.02556,0.02106,0.02923,0.00709,-0.00111,1.0,-26.1735390388328,-1.0,-1,0.0,36.0,0,12532.6302551556,3.86756969674102E+28,30.380123334947,30.6286056578364,0.118499278151163,,,136.262365,15.764731,765.529967700955,40.3527867246522,2435,53828,204,090502.96+154553.0,136.26235961914100,15.764731407165500,1.6519999504089400,2435,204,53828,1048578,1,1,-26.17353903883280,46.45143248295920,0.008139222156739120,0,0,0.0,-27.137268758873200,-1.0,0.0,-1.0,45.73962525391800,0.008139222156739120,46.03015974631640,0.018837622881260800,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.884895063033100,0.02432541786439660,4477.92630491763,519.8854354357790,37.912771111422000,2.4382349989986500,43.867161488025000,0.031199964637522700,4477.92630491763,359.11553667557500,36.395857328422100,2.779166351131280,5398.057787818390,90.29487904799980,14.141859477256900,-1.4459435854337300,0.05377367148610250,310,10.897492442294200,1.1375291587552100,44.36833586534110,0.03667235216929750,4464.1142578125,312.3544921875,40.35278672465220,4.500932762227170,-2.300830881452160,0.26313142334620400,280,9.011944531976440,1.0657014861099300,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,76.5234695268809,186.87924685068200,765.5299677009550,80.12694973199500,0.0,-1.0,0.0,-1.0,9.048192694743700,0.03891008008452230,9.031966510835380,0.10092491105191300,9.120721541305530,0.06984063840693470,9.03545526899388,0.061589854683794500,9.120721541305530,0.06984063840693470,-0.7696596034639290,0,0.018699994632842100
4951,SDSSJ092933.99+300240.8,,1.651654,0.02142,0.0397,0.00225,0.05299,-0.01012,-0.0038,1.0,-26.8418189510344,1.0,2,116.0,125.0,2,12538.7881188267,3.86947001346992E+28,30.9211037931966,30.8959176227171,-0.0120110878975536,,,142.391663,30.044674,145.201956246888,65.8211912300543,1939,53389,538,092933.99+300240.8,142.39166259765600,30.044673919677700,1.6491999626159700,1939,538,53389,1048579,1,1,-26.841818951034400,46.69560202946350,0.0029310135024829300,0,0,0.0,-26.911859974897600,-1.0,0.0,-1.0,45.98379480042230,0.0029310135024829300,46.15109849565180,0.012490954034646500,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.1885410209383,0.02001878379483560,6568.765332912210,162.9218181087260,44.2510484425442,2.2491707749308200,44.181988378842500,0.02222973724672880,6568.634712481350,176.05359580157900,43.597052083222600,2.3600337942945900,6568.634712481350,80.8247204625452,4.797560061298780,-1.1918869171150400,0.025990135812228000,311,17.59058641007530,1.1174674701948800,44.73237971126310,0.035147886773462000,8492.59375,706.29541015625,65.82119123005430,5.56897878122561,-1.7683959925543600,0.172122105903041,280,12.3131990456595,0.9841794652325390,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-49.92899561476360,241.1153390585990,145.20195624688800,240.68166855249400,0.0,-1.0,0.0,-1.0,9.370052976668670,0.018371442918661900,9.486864894431740,0.021592968982646600,9.604902998348760,0.023350878216001200,9.658162902212440,0.07253982813427130,9.604902998348760,0.023350878216001200,-1.0096715140028700,0,0.0012867302547979700
