Index,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
0,1.69432277301653E-02,2.12977324467747E-02,1.50484410761751E-02,1.65480492714094E-02,4.87843410112987E-09,1.09791497155844E-02,1.12192925505961E-02,4.51383006943895E-03,2.62048569875906E-02,-1.46529451486191E-03
1,4.68624811056517E-03,1.94620800704128E-02,1.20210082756298E-02,1.51983257421886E-02,2.42979499984097E-02,1.39195517216466E-02,8.04473859051247E-03,1.7339754935993E-02,1.2963783596053E-02,-3.10340054047612E-05
2,1.30435707028822E-02,2.16364422048316E-02,1.40560391646314E-02,1.29740145762285E-02,4.80367613495147E-03,9.90971840853816E-03,1.08632167143661E-02,1.59416714946845E-02,2.49659337267644E-02,3.57112978797512E-03
3,1.423772590548E-02,1.38768005365666E-02,2.79801180444792E-02,1.04405020751419E-02,3.09566220875102E-03,1.40206736495274E-02,2.75995967580278E-03,1.89539157912051E-02,1.8617028426868E-02,1.31242387669366E-02
4,1.97929769268737E-02,1.55066254464744E-02,2.19279801094341E-02,1.10908551594444E-02,6.9217875875438E-10,1.50854464887042E-02,7.74050722837494E-03,7.46558462579783E-03,1.27912778692553E-02,-5.49819011158741E-03
5,2.59837988819915E-02,1.45545709539769E-02,1.21153949203854E-02,1.33919702673266E-02,3.71846773170459E-03,8.82839543855374E-03,7.22075017150248E-03,7.22582563764051E-03,2.58915633001627E-02,4.41611699414111E-03
6,1.98904476551571E-02,1.57610754954507E-02,1.76677623980996E-02,1.12685024896961E-02,6.53273315844727E-03,1.06642173910936E-02,7.35601127375829E-03,8.2209709323211E-03,2.13948461547941E-02,-5.51478942862846E-03
7,8.90206864000653E-04,2.26253447669034E-02,2.05563281106127E-02,1.47884656850803E-02,2.11482214200265E-02,7.4313475406842E-03,1.99429173779033E-02,6.87074119873721E-03,-4.76583183630093E-03,-1.23417872046282E-02
8,1.27399814972224E-02,1.42111915656102E-02,2.85897472115169E-02,8.63269682041001E-03,4.99322027921467E-03,1.14527303816796E-02,1.0509783682584E-03,2.38753365802986E-02,3.34955075069845E-02,2.43856367065987E-02
9,8.48976354436193E-03,1.46016286067494E-02,1.43180752758969E-02,1.85508712891735E-02,1.82871134104023E-02,1.56271706841429E-02,9.68617977478714E-03,2.1380653444538E-02,7.12251410349097E-03,-9.54422574670042E-03
10,2.3391510574412E-02,1.12683438115275E-02,1.63557112468458E-02,1.27245657114536E-02,7.09960782924979E-03,1.38841267509693E-02,7.69240909221924E-03,8.99785875174386E-03,1.56384973323845E-02,-7.15423746567677E-03
11,1.768982143255E-02,1.61268804289976E-02,2.15730015422739E-02,1.40940806153873E-02,7.44224575521812E-07,1.27249142989654E-02,1.41446367314586E-02,8.61289411703625E-03,1.29448573316553E-02,7.19662440666877E-03
12,2.01722164305569E-02,1.66095090080463E-02,1.70606511023124E-02,1.35123453860122E-02,4.28875379654414E-10,1.5414481384409E-02,1.22223012273341E-02,6.47092185644604E-03,2.25920340433285E-02,4.05676032419364E-03
13,1.98682726347601E-02,2.06484453175171E-02,5.87729550070382E-03,1.10041583496647E-02,1.37712728176207E-02,9.08848802271911E-03,8.48461941303746E-03,3.78384819722166E-03,1.51098593068897E-02,8.96787148306905E-03
14,1.78309814471644E-02,1.84053069125312E-02,1.81301747816487E-02,1.38995545248071E-02,4.11195522076468E-10,1.03351307425172E-02,7.41939550155402E-03,1.21274529872808E-02,1.05021634514852E-02,-8.9597994786123E-03
